student,SE,Math,Stat,ML,SME,Comm,Data Vis
1,1,6,7,1,1,7,5
2,6,4,5,0,8,7,8
3,6,6,6,2,6,7,7
4,6,9,7,8,9,7,7
5,,,,,,,
6,,,,,,,
7,9,5,5,3,7,8,7
8,8,6,5,4,5,5,5
9,,,,,,,
10,8,7,5,2,8,8,5
11,5,4,3,4,2,8,3
12,9,8,4,2,9,8,5
13,2,6,5,4,7,8,7
14,9,7,5,3,5,4,2
15,3,5,7,7,2,1,8
16,8,8,4,4,7,8,7
17,8,6,,6,8,7,2
18,,,,,,,
19,6,5,4,4,7,8,6
20,,,,,,,
21,8,8,7,7,9,8,6
22,8,5,4,1,2,3,2
23,,,,,,,
24,8,7,6,4,8,8,6
25,9,3,3,5,6,6,6
26,3,5,5,3,7,7,7
27,4,4,7,0,6,4,7
28,9,5,2,1,5,5,5
29,4,7,6,6,9,7,5
30,8,7,4,3,9,6,5
31,4,6,6,5,6,7,9
32,3,4,6,7,5,8,2
33,1,4,5,4,5,7,6
