Obs,Country,m100,m200,m400,m800,m1500,m3000,Marathon
1,Argentina,11.61,22.94,54.5,2.15,4.43,9.79,178.52
2,Australia,11.2,22.35,51.08,1.98,4.13,9.08,152.37
3,Austria,11.43,23.09,50.62,1.99,4.22,9.34,159.37
4,Belgium,11.41,23.04,52,2,4.14,8.88,157.85
5,Bermuda,11.46,23.05,53.3,2.16,4.58,9.81,169.98
6,Brazil,11.31,23.17,52.8,2.1,4.49,9.77,168.75
7,Burma,12.14,24.47,55,2.18,4.45,9.51,191.02
8,Canada,11,22.25,50.06,2,4.06,8.81,149.45
9,Chile,12,24.52,54.9,2.05,4.23,9.37,171.38
10,China,11.95,24.41,54.97,2.08,4.33,9.31,168.48
11,Columbia,11.6,24,53.26,2.11,4.35,9.46,165.42
12,CookIs,12.9,27.1,60.4,2.3,4.84,11.1,233.22
13,Costa,11.96,24.6,58.25,2.21,4.68,10.43,171.8
14,Czech,11.09,21.97,47.99,1.89,4.14,8.92,158.85
15,Denmark,11.42,23.52,53.6,2.03,4.18,8.71,151.75
16,Domrep,11.79,24.05,56.05,2.24,4.74,9.89,203.88
17,Finland,11.13,22.39,50.14,2.03,4.1,8.92,154.23
18,France,11.15,22.59,51.73,2,4.14,8.98,155.27
19,GDR,10.81,21.71,48.16,1.93,3.96,8.75,157.68
20,FRG,11.01,22.39,49.75,1.95,4.03,8.59,148.53
21,Gbni,11,22.13,50.46,1.98,4.03,8.62,149.72
22,Greece,11.79,24.08,54.93,2.07,4.35,9.87,182.2
23,Guatemala,11.84,24.54,56.09,2.28,4.86,10.54,215.08
24,Hungary,11.45,23.06,51.5,2.01,4.14,8.98,156.37
25,India,11.95,24.28,53.6,2.1,4.32,9.98,188.03
26,Indonesia,11.85,24.24,55.34,2.22,4.61,10.02,201.28
27,Ireland,11.43,23.51,53.24,2.05,4.11,8.89,149.38
28,Israel,11.45,23.57,54.9,2.1,4.25,9.37,160.48
29,Italy,11.29,23,52.01,1.96,3.98,8.63,151.82
30,Japan,11.73,24,53.73,2.09,4.35,9.2,150.5
31,Kenya,11.73,23.88,52.7,2,4.15,9.2,181.05
32,Korea,11.96,24.49,55.7,2.15,4.42,9.62,164.65
33,DprKorea,12.25,25.78,51.2,1.97,4.25,9.35,179.17
34,Luxembourg,12.03,24.96,56.1,2.07,4.38,9.64,174.68
35,Malaysia,12.23,24.21,55.09,2.19,4.69,10.46,182.17
36,Mauritius,11.76,25.08,58.1,2.27,4.79,10.9,261.13
37,Mexico,11.89,23.62,53.76,2.04,4.25,9.59,158.53
38,Netherlands,11.25,22.81,52.38,1.99,4.06,9.01,152.48
39,NewZealand,11.55,23.13,51.6,2.02,4.18,8.76,145.48
40,Norway,11.58,23.31,53.12,2.03,4.01,8.53,145.48
41,PNG,12.25,25.07,56.96,2.24,4.84,10.69,233
42,Philippines,11.76,23.54,54.6,2.19,4.6,10.16,200.37
43,Poland,11.13,22.21,49.29,1.95,3.99,8.97,160.82
44,Portugal,11.81,24.22,54.3,2.09,4.16,8.84,151.2
45,Rumania,11.44,23.46,51.2,1.92,3.96,8.53,165.45
46,Singapore,12.3,25,55.08,2.12,4.52,9.94,182.77
47,Spain,11.8,23.98,53.59,2.05,4.14,9.02,162.6
48,Sweden,11.16,22.82,51.79,2.02,4.12,8.84,154.48
49,Switzerland,11.45,23.31,53.11,2.02,4.07,8.77,153.42
50,Taipei,11.22,22.62,52.5,2.1,4.38,9.63,177.87
51,Thailand,11.75,24.46,55.8,2.2,4.72,10.28,168.45
52,Turkey,11.98,24.44,56.45,2.15,4.37,9.38,201.08
53,USA,10.79,21.83,50.62,1.96,3.95,8.5,142.72
54,USSR,11.06,22.19,49.19,1.89,3.87,8.45,151.22
55,WSamoa,12.74,25.85,58.73,2.33,5.81,13.04,306
